Company Name,Income in $ million,U.S. Tax Rate Paid,Effective Tax Rate
Dover Corp,1095,15,23
Cincinnati Financial Corp,176,14,6
Wells Fargo & Co,23656,14,31
McKesson Corp,1919,14,27
Google Inc,12326,14,21
Viacom Inc B,3245,14,33
JP Morgan Chase & Co,26749,14,29
Monsanto Co.,2374,14,30
Raytheon Co,2690,14,29
American Express Co,6956,14,30
US Bancorp,6629,14,28
Dentsply Intl,256,14,4
Biogen Idec Inc,1711,14,26
Iron Mountain Inc,353,13,30
Schlumberger Ltd,6338,13,24
Fossil Inc,452,13,32
eBay Inc.,3910,13,17
Allegheny Technologies Inc,339,13,34
Thermo Fisher Scientific,1127,13,9
Akamai Technologies Inc,307,13,35
Northern Trust Corp (IL),884,13,32
ConAgra Foods Inc,1225,13,34
CareFusion Corp.,415,13,30
Wyndham Worldwide Corp,650,13,36
BMC Software Inc,530,13,24
"Lilly, Eli & Co",5350,13,19
Gannett Co Inc,653,12,23
Oracle Corp,12962,12,23
Estee Lauder Cos.,1026,12,31
Bristol-Myers Squibb,6981,12,25
CSX Corp,2888,12,37
Leggett & Platt,206,12,24
IntercontinentalExchange,759,12,31
Applied Materials Inc,2378,12,19
PPG Industries Inc,1597,12,24
Zions Bancorp (UT),521,12,38
Procter & Gamble,15189,12,22
Chubb Corp,2199,12,24
Fluor Corp,1002,12,30
Praxair Inc,2323,12,28
Merck & Co Inc,7334,12,13
Principal Financial Group,988,12,24
Cisco Systems Inc,7825,12,17
Citrix Systems Inc,430,12,17
Apple Inc.,34205,11,24
Coca-Cola Enterprises,945,11,21
Mead Johnson Nutrition Co,722,11,28
Caterpillar Inc,6725,11,26
Microsoft Corp,28071,11,18
"Becton, Dickinson & Co",1716,11,26
Amazon.com Inc,934,11,31
Cliffs Natural Resources Inc,2242,11,19
Public Svc. Enterprise Grp.,2384,11,41
L-3 Communications Holdings,1328,11,27
Pfizer Inc,12762,11,32
Joy Global Inc,896,10,30
Tesoro Corp,905,10,38
Cognizant Tech Solutions Corp,1169,10,24
