"Security","Ticker","Yield (%)","Dividend Yield Score","Cash Flow Score","Relative Value Score","Total Score","Price (USD)1","IDEAL Value ($)","GICS Sector","ID"
"Symantec","SYMC","1.06","0","3","3","6","28.28","41.25","Information Technology","1656"
"Synopsys Inc","SNPS","","0","1","0","1","87.02","21.15","Information Technology","10990"
"TE Connectivity","TEL","1.72","1","1","3","5","92.94","112.97","Information Technology","6213"
"Texas Instruments","TXN","2.56","3","1","0","4","96.95","94.04","Information Technology","1304"
"Total System Services","TSS","0.72","0","1","1","2","72.45","35.23","Information Technology","1730"
"VeriSign, Inc.","VRSN","","0","1","0","1","109.00","26.50","Information Technology","2508"
"Visa","V","0.70","0","3","0","3","111.78","81.52","Information Technology","1670"
"Western Digital","WDC","2.28","2","3","4","9","88.91","194.04","Information Technology","2481"
"Western Union","WU","3.49","3","0","4","7","20.13","34.16","Information Technology","1394"
"Xerox","XRX","3.42","3","0","4","7","29.22","49.60","Information Technology","2517"
"Xilinx","XLNX","1.96","1","0","0","1","71.51","17.38","Information Technology","6228"
"Air Products & Chem","APD","2.37","2","0","2","4","160.47","156.04","Materials","43"
"Albemarle Corp","ALB","0.91","0","0","0","0","141.97","17.21","Materials","1873"
"Avery Dennison Corp","AVY","1.70","1","1","3","5","105.01","127.32","Materials","2433"
"Ball Corp","BLL","0.99","0","3","4","7","40.05","67.98","Materials","2452"
"CF Industries","CF","3.23","3","2","0","5","37.22","45.12","Materials","2268"
"DowDuPont Inc","DWDP","2.17","2","0","3","5","70.00","85.08","Materials","10977"
"Eastman Chemical","EMN","2.27","2","0","4","6","90.33","131.43","Materials","1565"
"Ecolab","ECL","1.14","0","0","0","0","129.80","15.78","Materials","4032"
"FMC Corp","FMC","0.71","0","3","3","6","92.38","134.75","Materials","6138"
"Freeport McMoRan Copper & Gold","FCX","","0","1","4","5","14.59","17.69","Materials","1180"
"International Flavors & Fragra","IFF / IFF","1.88","1","0","0","1","146.95","35.72","Materials","6156"
"International Paper","IP","3.46","3","0","4","7","54.59","92.66","Materials","6157"
"LyondellBasell Industries NV","LYB","3.46","3","0","4","7","103.51","175.71","Materials","6175"
"Martin Marietta Materials Inc","MLM / MLM","0.83","0","1","0","1","212.53","51.67","Materials","6184"
"Monsanto","MON","1.84","1","2","3","6","117.91","171.56","Materials","1139"
"Mosaic","MOS","0.44","0","0","2","2","22.85","11.08","Materials","1368"
"Newmont Mining Corp","NEM","0.84","0","0","0","0","35.69","4.34","Materials","1698"
"Nucor Corp","NUE","2.67","3","0","4","7","55.44","94.11","Materials","2247"
"Packaging Corp of America","PKG","2.29","2","1","3","6","109.95","160.37","Materials","10985"
"PPG Industries","PPG","1.57","0","1","3","4","114.67","111.50","Materials","4021"
"Praxair","PX","2.13","2","0","0","2","148.02","71.97","Materials","113"
"Sealed Air","SEE","1.43","0","0","3","3","44.34","32.26","Materials","1276"
"Sherwin-Williams","SHW","0.88","1","1","1","2","388.25","188.77","Materials","2352"
"Vulcan Materials","VMC","0.80","0","2","0","2","124.00","60.14","Materials","1341"
"Alexandria Real Estate Equitie","ARE","2.73","3","2","0","5","125.97","153.12","Real Estate","10972"
"American Tower","AMT","1.74","1","1","2","4","149.40","","Real Estate","1724"
"Apartment Investment & Managem","AIV","3.18","3","1","0","4","45.26","44.01","Real Estate","6088"
"AvalonBay Communities","AVB","3.03","3","1","3","7","187.33","318.78","Real Estate","1603"
"Boston Properties","BXP","2.38","3","1","2","6","126.14","183.52","Real Estate","1407"
"CB Richard Ellis Group","CBG","0.00","0","2","4","6","41.35","60.31","Real Estate","1805"
"Crown Castle International Corp.","CCI","3.71","3","0","0","4","113.24","110.11","Real Estate","4922"
"Digital Realty Trust","DLR","3.04","3","2","0","5","121.00","146.71","Real Estate","1759"
"Duke Realty Corp","DRE","2.76","3","1","0","4","28.95","28.16","Real Estate","10976"
"Equinix","EQIX","1.65","1","2","0","3","482.16","350.77","Real Estate","2156"
"Equity Residential","EQR","2.88","3","1","0","4","69.49","67.40","Real Estate","6131"
"Essex Property Trust Inc","ESS","2.72","3","1","1","5","257.12","312.53","Real Estate","6132"
"Extra Space Storage","EXR","3.65","3","2","4","9","85.76","187.17","Real Estate","1675"
"Federal Realty Investment Trust","FRT","3.03","3","1","3","7","132.10","224.80","Real Estate","7793"
"General Growth Properties Inc","GGP","3.96","3","1","3","7","22.21","37.79","Real Estate","6144"
"HCP","HCP","5.48","3","0","4","7","27.16","46.10","Real Estate","4570"
"Host Hotels & Resorts Inc","HST","4.00","0","0","0","0","19.92","","Real Estate","6154"
"Iron Mountain Inc","IRM","5.77","3","1","4","8","40.70","79.15","Real Estate","6160"
"Kimco Realty Corp","KIM","5.84","3","1","4","8","19.17","37.28","Real Estate","6163"
"Macerich Co/The","MAC","4.60","3","0","0","3","64.34","46.92","Real Estate","6176"
"Mid-America Apartment","MAA","3.29","3","3","2","8","105.88","205.91","Real Estate","1760"
"Prologis Trust","PLD","2.65","3","3","2","8","66.32","128.66","Real Estate","1325"
"Public Storage","PSA","3.77","3","1","4","8","212.01","412.32","Real Estate","1677"
"Realty Income","O","4.52","3","1","2","6","56.42","82.08","Real Estate","2494"
"Regency Centers Corp","REG","3.18","3","2","2","7","66.60","113.33","Real Estate","10987"
"SBA Communications Corp","SBAC","","0","1","0","1","168.47","40.95","Real Estate","10989"
"Simon Property Group","SPG","4.59","3","1","4","8","163.33","316.85","Real Estate","1324"
"United Dominion Realty","UDR","3.10","3","1","0","4","39.95","38.85","Real Estate","1680"
"Ventas","VTR","4.76","3","1","4","8","65.09","126.59","Real Estate","1761"
"Welltower","HCN","6.50","3","1","4","8","68.43","133.08","Real Estate","1996"
"Weyerhaeuser","WY","3.42","3","0","4","7","36.21","61.47","Real Estate","5936"
"AT&T","T","5.76","3","1","0","4","34.23","33.20","Telecommunication Services","777"
"CenturyLink","CTL","13.95","3","0","2","5","15.51","18.80","Telecommunication Services","779"
"Verizon Communications","VZ","5.24","3","0","0","3","44.84","32.62","Telecommunication Services","794"
"AES Corp","AES","4.66","3","0","4","7","10.12","17.18","Utilities","644"
"Alliant Energy","LNT","2.86","3","2","0","5","43.73","53.02","Utilities","647"
"Ameren Corp","AEE","2.93","3","1","0","4","62.39","60.67","Utilities","649"
"American Electric Power","AEP","3.32","3","1","0","4","74.81","72.75","Utilities","648"
"American Water Works","AWK","1.86","1","1","0","2","88.63","42.99","Utilities","810"
"CenterPoint Energy","CNP","3.64","3","0","0","3","29.40","21.44","Utilities","651"
"CMS Energy","CMS","2.70","3","0","0","3","49.17","35.77","Utilities","653"
"Consolidated Edison","ED","3.17","3","1","0","4","87.08","84.68","Utilities","700"
"Dominion Resources","D","3.79","3","0","0","3","80.89","58.85","Utilities","655"
"DTE Energy","DTE","3.12","3","0","0","3","112.46","81.81","Utilities","657"
"Duke Energy","DUK","3.97","3","0","1","4","88.94","86.27","Utilities","658"
"Edison International","EIX","2.72","3","0","0","3","79.84","58.23","Utilities","659"
"Entergy Corp","ETR","4.16","3","0","1","4","85.55","83.19","Utilities","662"
"Eversource Energy","ES","2.94","3","1","0","4","64.14","62.22","Utilities","1648"
"Exelon Corp","EXC","3.18","3","0","3","6","41.21","59.96","Utilities","663"
"First Energy","FE","4.29","3","1","4","8","33.69","65.36","Utilities","664"
"NextEra Energy","NEE","2.53","3","0","0","3","154.98","112.75","Utilities","1517"
"NiSource","NI","2.54","3","0","0","3","27.16","19.76","Utilities","672"
"NRG Energy","NRG","0.43","0","0","0","0","28.30","3.43","Utilities","764"
"PG&E Corp","PCG","3.74","3","3","3","9","56.63","123.90","Utilities","677"
"Pinnacle West","PNW","3.15","3","0","0","3","88.30","64.40","Utilities","678"
"PPL Corp","PPL","4.30","3","0","2","5","36.34","44.06","Utilities","680"
"Public Svc. Enterprise Grp.","PEG","3.43","3","0","1","4","50.16","48.78","Utilities","682"
"SCANA","SCG","5.49","3","2","4","9","44.09","96.23","Utilities","683"
"Sempra Energy","SRE","2.73","3","2","0","5","120.72","146.73","Utilities","684"
"Southern","SO","4.46","3","1","2","6","51.54","74.99","Utilities","685"
"WEC Energy Group","WEC","3.05","3","2","0","5","68.00","82.45","Utilities","690"
"Xcel Energy","XEL","2.85","3","0","0","3","50.18","36.51","Utilities","691"
